time,open,high,low,close
2021-08-07T21:00:00-03:00,44624.4,45355,43298.84,43858.42
2021-08-08T21:00:00-03:00,43836.05,46529.02,42811.26,46292.89
2021-08-09T21:00:00-03:00,46282.3,46759,44643,45609.7
2021-08-10T21:00:00-03:00,45596.21,46787.6,45353.02,45539.85
2021-08-11T21:00:00-03:00,45536.8,46236.7,43800.02,44444.45
2021-08-12T21:00:00-03:00,44413.35,47929.18,44253.97,47860.58
2021-08-13T21:00:00-03:00,47855,48190,46000,47119.73
2021-08-14T21:00:00-03:00,47130.97,47424,45500.27,47028.3
2021-08-15T21:00:00-03:00,47024.96,48075.22,45654.14,45930.51
2021-08-16T21:00:00-03:00,45930.48,47183.37,44417.51,44694.35
2021-08-17T21:00:00-03:00,44631.47,46041.62,44218.73,44721.13
2021-08-18T21:00:00-03:00,44734.16,47114.99,43935.54,46764.3
2021-08-19T21:00:00-03:00,46759.29,49436.1,46645.77,49356
2021-08-20T21:00:00-03:00,49332.31,49833.02,48300,48884.34
2021-08-21T21:00:00-03:00,48883.84,49540.01,48080.17,49301.86
2021-08-22T21:00:00-03:00,49296.71,50562.11,49010,49561.37
2021-08-23T21:00:00-03:00,49516.08,49893.5,47593.66,47731.33
2021-08-24T21:00:00-03:00,47670.8,49273.93,47100,49011.75
2021-08-25T21:00:00-03:00,49022.39,49387.6,46309.33,46856.29
2021-08-26T21:00:00-03:00,46857.86,49187,46363,49100.49
2021-08-27T21:00:00-03:00,49100.49,49325,48244.88,48935.36
2021-08-28T21:00:00-03:00,48947.1,49666,47798.29,48808.72
2021-08-29T21:00:00-03:00,48782.56,48915.29,46855.41,47003.44
2021-08-30T21:00:00-03:00,46969.05,48270.33,46699,47156.09
2021-08-31T21:00:00-03:00,47118.02,49134,46532.42,48853.49
2021-09-01T21:00:00-03:00,48830.93,50390,48625,49274.79
2021-09-02T21:00:00-03:00,49284.93,51050,48351.6,50025.04
2021-09-03T21:00:00-03:00,50033.5,50570.94,49388.26,49943.16
2021-09-04T21:00:00-03:00,49965.32,51900,49500,51809.28
2021-09-05T21:00:00-03:00,51809.28,52810,51024.32,52708.2
2021-09-06T21:00:00-03:00,52719.43,52956.47,42900.01,46866.82
2021-09-07T21:00:00-03:00,46894.3,47386.72,44436.93,46091.94
2021-09-08T21:00:00-03:00,46070.43,47419.95,45550,46392.81
2021-09-09T21:00:00-03:00,46368.11,47029.08,44125,44857.38
2021-09-10T21:00:00-03:00,44858.2,45993.32,44767.75,45176.66
2021-09-11T21:00:00-03:00,45162.96,46491.63,44752.96,46035
2021-09-12T21:00:00-03:00,46039.42,46895.82,43400,44974.34
2021-09-13T21:00:00-03:00,44983.77,47273.38,44704.18,47103.18
2021-09-14T21:00:00-03:00,47123.81,48465.77,46702.26,48150.94
